"","EGFR","Hypoxia","JAK-STAT","MAPK","NFkB","PI3K","TGFb","TNFa","Trail","VEGF","p53","Androgen","Estrogen","WNT"
"ABCA12",0,0,0,0,0,0,0,0,0,0,9.597182119,0,0,0
"ABCA6",0,0,0,0,0,0,-3.271536895,0,0,0,0,0,0,0
"ABCA8",0,0,0,0,0,0,-1.70924508,0,0,0,0,0,0,0
"ABCC4",0,0,0,0,0,0,0,0,0,0,0,9.37428478112,0,0
"ABCC5",0,0,0,0,0,0,0,0,0,0,0,0,-4.8549878295,0
"ACER2",0,0,0,0,0,0,0,0,0,0,11.59606439,0,0,0
"ACOX3",0,0,0,0,0,0,2.721528765,0,0,0,0,0,0,0
"ACPP",0,0,0,0,0,0,0,0,0,0,0,-3.01472809845,0,0
"ACSL3",0,0,0,0,0,0,0,0,0,0,0,8.25821358567,0,0
"ACTC1",0,0,0,0,0,0,3.337429797,0,0,0,0,0,0,0
"ACVR2B-AS1",0,0,0,0,0,-3.929886269,0,0,0,0,0,0,0,0
"ADAM12",0,0,0,0,0,0,3.968304535,0,0,0,0,0,0,0
"ADAM6",0,0,0,0,0,0,0,0,1.356441358,0,0,0,0,0
"ADAM7",0,0,0,0,0,0,0,0,0,0,0,3.11174530687,0,0
"ADAMTS17",0,0,0,0,0,0,0,0,-1.577349257,0,0,0,0,0
"ADAR",0,0,3.874928961,0,0,0,0,0,0,0,0,0,0,0
"ADCY9",0,0,0,0,0,0,0,0,0,0,0,0,3.2478819979,0
"ADGRD1",0,0,0,0,0,0,0,0,0,-3.686645233,0,0,0,0
"ADM",0,17.82569614,0,0,0,0,0,0,0,0,0,0,0,0
"ADORA1",1.267810008,0,0,0,0,0,0,0,0,0,0,0,5.02379225883,0
"ADPRM",0,0,0,0,0,0,0,0,0,0,0,4.13348871896,0,0
"AEBP1",0,0,0,0,0,-4.092610788,0,0,0,0,0,0,0,0
"AEN",2.987402897,0,0,3.216118265,0,0,0,0,0,0,0,0,0,0
"AFF3",0,0,0,0,0,0,0,0,0,0,0,2.48009244085,0,0
"AGAP6",0,0,0,0,0,0,0,0,-1.854893017,0,0,0,0,0
"AHRR",0,0,0,0,0,0,0,0,0,18.50422252,0,0,0,0
"AIRE",0,0,0,0,0,0,0,0,0,0,0,0,0,0.756269896603
"AJUBA",-3.193264663,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK1",0,0,0,0,0,0,0,0,0,0,4.352992415,0,0,0
"AK4",0,9.693023501,0,0,0,0,0,0,0,0,0,0,0,0
"AK5",0,0,0,0,0,0,-3.35713244,0,0,0,0,0,0,0
"AKR1B1",0,0,0,0,0,0,0,6.596693036,0,0,0,0,0,0
"AKR1B10",0,0,0,0,0,0,0,0,0,0,10.32207734,0,0,0
"ALDH1A1",0,0,0,0,0,0,0,0,0,-6.402508328,0,0,0,0
"ALDOA",0,7.654678081,0,0,0,0,0,0,0,0,0,0,0,0
"ALDOC",0,13.16152364,0,0,0,0,0,0,0,0,0,0,0,0
"ALOX12",0,0,0,0,0,0,0,0,0,0,0,0,0,-2.38809168835
"AMIGO1",0,0,0,0,0,-6.000321013,0,0,0,0,0,0,0,0
"ANAPC16",-1.821018358,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANGPT1",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.92617170318
"ANGPTL4",0,12.64069065,0,0,0,0,0,0,0,0,0,0,0,0
"ANKLE2",0,0,0,0,2.211976322,0,0,2.36793168,0,0,0,0,0,0
"ANKRA2",0,0,0,0,0,0,0,0,0,0,10.88963097,0,0,0
"ANKRD1",0,0,0,0,0,0,0,0,0,0,0,0,0,5.75344104425
"ANKRD20A12P",0,0,0,0,0,0,0,0,0,0,3.69177441,0,0,0
"ANKRD33B",0,0,0,0,4.494298725,0,0,0,0,0,0,0,0,0
"ANKRD36BP2",0,0,0,0,0,0,0,0,0,-1.545867694,0,0,0,0
"ANKRD37",0,8.484976152,0,0,0,0,0,0,0,0,0,0,0,0
"ANKS1B",0,0,0,0,0,0,0,0,0,-2.577518491,0,0,0,0
"ANKZF1",0,7.358162866,0,0,0,0,0,0,0,0,0,0,0,0
"ANO2",0,0,0,0,0,0,0,0,0,0,0,0,0,1.36220022375
"APBA3",0,0,0,0,0,0,0,2.177085765,0,0,0,0,0,0
"APBB1",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01528790297
"APOBEC3G",0,0,2.82646311,0,0,0,0,0,0,0,0,0,0,0
"APOC1",0,0,0,0,0,-5.061310147,0,0,0,0,0,0,0,0
"APOL1",0,0,5.347499123,0,0,0,0,0,0,0,0,0,0,0
"APOL2",0,0,3.656057665,0,0,0,0,0,0,0,0,0,0,0
"APOL3",0,0,4.845007402,0,0,0,0,0,0,0,0,0,0,0
"APOL4",0,0,2.514465675,0,0,0,0,0,0,0,0,0,0,0
"APOL6",0,0,6.474920883,0,0,0,0,0,0,0,0,0,0,0
"AREG",0,0,0,4.932286416,0,0,0,0,0,0,0,0,0,0
"ARHGAP11A",0,0,0,0,0,0,0,0,0,0,-7.976226363,0,0,0
"ARHGEF17",0,0,0,-1.396891091,0,0,0,0,0,0,0,0,0,0
"ARHGEF26",0,0,0,0,0,0,0,0,0,0,0,5.31107976025,0,0
"ARL3",0,0,0,0,0,0,0,0,0,0,0,0,3.95094805128,0
"ARL4C",0,0,0,0,0,0,0,0,0,0,0,0,0,3.27342846498
"ARMCX6",0,0,0,0,0,0,0,0,0,0,0,0,3.3639024049,0
"ARSJ",0,0,0,0,0,7.061080782,0,0,0,0,0,0,0,0
"ART4",0,0,0,0,0,0,0,0,0,-2.064522496,0,0,0,0
"ASB13",0,0,0,0,0,0,0,0,0,0,0,0,6.99394259362,0
"ASB4",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.728762798846
"ASB8",0,0,0,-1.693996154,0,0,0,0,0,0,0,0,0,0
"ATG2B",-1.645580447,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATP10A",0,0,0,0,0,0,2.784857147,0,0,0,0,0,0,0
"ATP2A3",0,0,0,0,0,0,0,0,0,0,0,0,-2.88202583781,0
"ATP5E",0,0,0,0,0,0,0,0,1.456390391,0,0,0,0,0
"ATP6V1G2",0,0,0,0,0,-7.237346228,0,0,0,0,0,0,0,0
"ATXN3",-1.274278674,0,0,0,0,0,0,0,0,0,0,0,0,0
"AVPR1A",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.583503378752
"AZGP1",0,0,0,0,0,0,0,0,0,0,0,5.81835009695,0,0
"B3GNT2",0,0,0,0,0,0,0,0,0,0,0,0,0,2.16641085465
"B4GALT1",0,0,0,0,2.536198718,0,0,2.745853261,0,0,0,0,0,0
"BAAT",0,0,0,0,0,-3.557538781,0,0,0,0,0,0,0,0
"BACH2",0,0,0,0,0,0,0,0,1.939233902,0,0,0,0,0
"BATF2",0,0,8.613495106,0,0,0,0,0,0,0,0,0,0,0
"BBIP1",-1.184318958,0,0,0,0,0,0,0,0,0,0,0,0,0
"BCAR3",0,0,0,0,0,0,0,0,0,5.832010393,0,0,0,0
"BCKDK",0,2.645038792,0,0,0,0,0,0,0,0,0,0,0,0
"BCL2A1",0,0,0,0,14.41692457,0,0,17.22500761,0,0,0,0,0,0
"BCOR",0,0,0,0,0,0,2.735746493,0,0,0,0,0,0,0
"BDH2",0,0,0,-2.496590868,0,0,0,0,0,0,0,0,0,0
"BDKRB1",0,0,0,0,0,0,0,4.922306052,0,0,0,0,0,0
"BEGAIN",0,0,0,0,0,-4.196477167,0,0,0,0,0,0,0,0
"BEND4",0,0,0,0,0,0,0,0,0,-2.470928435,0,0,0,0
"BGN",0,0,0,0,0,0,3.23784,0,0,0,0,0,0,0
"BHLHE40",0,15.2423596,0,0,0,0,0,0,0,0,0,0,0,0
"BHMT",0,0,0,0,0,0,0,0,1.276672383,0,0,0,0,0
"BID",0,0,0,0,4.729823539,0,0,5.604131763,0,0,0,0,0,0
"BIRC2",0,0,0,0,4.011379329,0,0,4.671661251,0,0,0,0,0,0
"BIRC3",0,0,0,0,12.45761217,0,0,13.5820455,0,0,0,0,0,0
"BLOC1S2",0,0,0,0,0,0,0,0,0,0,7.412623261,0,0,0
"BMP2",0,0,0,0,0,0,0,8.582446165,0,0,0,0,0,0
"BMP4",0,0,0,0,0,0,0,0,0,0,0,0,0,5.93683107305
"BMP7",0,0,0,0,0,0,0,0,0,0,0,0,0,2.09307161751
"BMPR1B",0,0,0,0,0,0,0,0,0,0,0,4.63408450531,0,0
"BMPR2",0,0,0,0,0,0,4.015505031,0,0,0,0,0,0,0
"BMS1P5",0,0,0,0,0,0,0,0,-2.104570971,0,0,0,0,0
"BNC1",0,0,0,0,0,0,0,0,0,0,0,0,0,1.58225139336
"BNIP3",0,19.41797404,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3L",0,14.12030237,0,0,0,0,0,0,0,0,0,0,0,0
"BRIX1",0,0,0,2.86674906,0,0,0,0,0,0,0,0,0,0
"BRS3",0,0,0,0,0,0,0,0,0.857473561,0,0,0,0,0
"BSDC1",-1.269368968,0,0,0,0,0,0,0,0,0,0,0,0,0
"BST2",0,0,8.104993585,0,0,0,0,0,0,0,0,0,0,0
"BZW1",2.746151949,0,0,2.781085431,0,0,0,0,0,0,0,0,0,0
"C10orf128",0,0,0,0,0,0,0,0,2.038952181,0,0,0,0,0
"C11orf1",0,0,0,0,0,-3.334272747,0,0,0,0,0,0,0,0
"C11orf71",0,0,0,-2.366757613,0,0,0,0,0,0,0,0,0,0
"C11orf96",0,0,0,0,4.566226065,0,0,4.766669051,0,0,0,0,0,0
"C12orf77",0,0,0,0,0,0,0,0,0,-4.837968096,0,0,0,0
"C15orf54",0,0,0,0,0,5.811047985,0,0,0,0,0,0,0,0
"C17orf82",0,0,0,0,0,0,0,0,0,0,3.278283058,0,0,0
"C17orf99",0,0,0,0,0,0,0,0,2.213003215,0,0,0,0,0
"C19orf66",0,0,5.47812605,0,0,0,0,0,0,0,0,0,0,0
"C1orf116",0,0,0,0,0,0,0,0,0,0,0,11.3868523945,0,0
"C1QTNF1",0,0,0,0,0,0,0,5.762291356,0,0,0,0,0,0
"C1QTNF4",0,0,0,0,0,0,0,0,0,-1.859168026,0,0,0,0
"C2CD3",0,0,0,0,0,0,0,0,0,0,0,0,0,1.45436019911
"C2CD5",-1.93904307,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2orf54",0,0,0,0,0,0,0,0,0,0,0,0,0,2.50620955677
"C2orf66",0,0,0,0,0,0,0,0,0,0,11.50317433,0,0,0
"C3",0,0,0,0,0,0,0,9.898437891,0,0,0,0,0,0
"C3orf80",0,0,0,0,0,0,4.809037463,0,0,0,0,0,0,0
"C4BPB",0,0,0,0,0,0,0,0,0,0,0,0,0,1.60281111775
"C4orf3",0,7.437918888,0,0,0,0,0,0,0,0,0,0,0,0
"C4orf47",0,6.053300922,0,0,0,0,0,0,0,0,0,0,0,0
"C5AR2",0,0,0,0,0,0,0,0,0,0,0,0,4.7330543263,0
"C5orf52",0,0,0,0,0,12.23980896,0,0,0,0,0,0,0,0
"C7orf77",0,0,0,0,0,0,0,0,-1.430619426,0,0,0,0,0
"C8orf4",0,0,0,0,0,0,0,8.472723921,0,0,0,0,0,0
"C8orf58",0,3.107871435,0,0,0,0,0,0,0,0,0,0,0,0
"CA12",0,0,0,0,0,0,0,0,0,0,0,0,8.41357762757,0
"CA14",0,0,0,0,0,-4.838040222,0,0,0,0,0,0,0,0
"CA9",0,13.96106784,0,0,0,0,0,0,0,0,0,0,0,0
"CAB39L",0,0,0,0,0,0,0,0,0,0,0,0,-4.12631179667,0
"CABYR",0,0,0,0,0,0,0,0,0,0,6.125471912,0,0,0
"CACNA1E",0,0,0,0,0,0,0,0,0,0,0,0,0,1.07499664802
"CALCR",0,0,0,0,0,0,0,0,0,0,0,0,5.39627356601,0
"CALD1",0,0,0,0,0,0,3.051635589,0,0,0,0,0,0,0
"CALML6",0,0,0,0,0,0,0,0,1.677588106,0,0,0,0,0
"CAMK1D",0,0,0,0,0,0,0,0,0,0,0,0,0,1.84366782207
"CAMK4",0,0,0,0,0,0,0,0,0,-2.547057637,0,0,0,0
"CAMKK2",0,0,0,0,0,0,0,0,0,0,0,3.73954403123,0,0
"CAMLG",0,0,0,0,0,-5.795703745,0,0,0,0,0,0,0,0
"CAP2",0,0,0,0,0,0,0,0,0,0,0,0,5.01154709433,0
"CARF",-1.601284081,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARMN",0,0,0,0,0,0,3.046263535,0,0,0,0,0,0,0
"CARNS1",0,0,0,0,0,0,0,0,0,0,4.538733845,0,0,0
"CASC10",0,0,0,0,0,4.952741485,0,0,0,0,0,0,0,0
"CASP4",0,0,2.42657748,0,0,0,0,0,0,0,0,0,0,0
"CASP9",0,0,0,0,0,0,0,0,0,0,0,0,-2.43538830188,0
"CBARP",0.979442479,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBFA2T3",0,0,0,0,0,0,0,0,2.084750371,0,0,0,0,0
"CBFB",0,0,0,2.339998205,0,0,0,0,0,0,0,0,0,0
"CBLL1",0,0,0,0,0,0,0,0,0,0,0,5.32543758834,0,0
"CBX7",0,0,0,0,0,-6.437220253,0,0,0,0,0,0,0,0
"CCDC155",0,0,0,0,0,0,0,0,1.699459081,0,0,0,0,0
"CCDC25",0,0,0,0,0,-4.339271307,0,0,0,0,0,0,0,0
"CCDC28A",-3.101814771,0,0,0,0,-8.060678441,0,0,0,0,0,0,0,0
"CCDC53",0,0,0,-2.26054734,0,0,0,0,0,0,0,0,0,0
"CCDC81",0,0,0,0,0,0,0,0,0,-2.301363665,0,0,0,0
"CCDC90B",0,0,0,0,0,0,0,0,0,0,3.388109463,0,0,0
"CCL2",0,0,0,0,17.56599183,0,0,19.84618276,0,0,0,0,0,0
"CCL20",0,0,0,0,36.69730787,0,0,38.38796712,0,0,0,0,0,0
"CCM2",0,0,0,0,0,0,0,0,0,4.274565169,0,0,0,0
"CCND1",0,0,0,6.263011605,0,0,0,0,0,0,0,0,0,0
"CCNG2",0,7.325840669,0,0,0,0,0,0,0,0,0,0,0,0
"CD1A",0,0,0,0,0,0,0,0,1.691609483,0,0,0,0,0
"CD244",0,0,0,0,0,0,0,0,0,0,0,0,0,0.75606236887
"CD40",0,0,0,0,3.520213591,0,0,0,0,0,0,0,0,0
"CD48",0,0,0,0,0,0,0,0,0,0,0,0,0,1.57824848108
"CD72",0,0,0,0,0,0,0,0,0,-2.717726389,0,0,0,0
"CD80",0,0,0,0,3.795615076,0,0,0,0,0,0,0,0,0
"CD83",0,0,0,0,10.45137087,0,0,11.00266486,0,0,0,0,0,0
"CD93",0,0,0,0,0,0,0,0,0,3.080460251,0,0,0,0
"CDC37L1",0,0,0,0,0,0,0,0,0,3.302919487,0,0,0,0
"CDCA4",0,0,0,3.010281262,0,0,0,0,0,0,0,0,0,0
"CDH2",0,0,0,0,0,0,3.288310238,0,0,0,0,0,0,0
"CDIP1",0,0,0,0,0,0,0,0,0,0,5.049443582,0,0,0
"CDK5RAP3",0,0,0,0,0,-5.254766588,0,0,0,0,0,0,0,0
"CDK8",0,0,0,0,0,0,0,0,0,0,0,-4.29086828336,0,0
"CDKN1A",0,0,0,0,0,0,0,0,0,0,15.95697031,0,0,0
"CDKN2B",0,0,0,0,0,0,3.373728103,0,0,0,0,0,0,0
"CEL",0,0,0,0,0,0,0,0,0,0,4.049534672,0,0,0
"CELSR2",0,0,0,0,0,0,0,0,0,0,0,0,8.66914415272,0
"CENPN",0,0,0,0,0,0,0,0,0,0,0,8.49101673326,0,0
"CEPT1",-0.994593734,0,0,0,0,0,0,0,0,0,0,0,0,0
"CES2",0,0,0,0,0,0,0,0,0,0,7.280384842,0,0,0
"CFB",0,0,0,0,6.31351994,0,0,7.426735426,0,0,0,0,0,0
"CFL1",1.329245479,0,0,0,0,0,0,0,0,0,0,0,0,0
"CFLAR",0,0,0,0,4.016711588,0,0,3.726544235,0,0,0,0,0,0
"CHRNA10",0.6899809,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHRNA2",0,0,0,0,0,0,0,0,0,0,0,3.3317016194,0,0
"CHST3",0,0,0,0,0,0,2.221800857,0,0,0,0,0,0,0
"CILP",0,0,0,0,0,0,4.651003964,0,0,0,0,0,0,0
"CIR1",0,0,0,0,0,-5.023161183,0,0,0,0,0,0,0,0
"CLCA2",0,0,0,0,0,0,0,0,0,0,10.51925594,0,0,0
"CLDN1",0,0,0,0,0,0,0,9.089955595,0,0,0,0,0,0
"CLDN11",0,0,0,0,0,0,-3.690283396,0,0,0,0,0,0,0
"CLDN4",0,0,0,0,0,0,0,0,0,0,0,0,-3.82821711919,-1.89939345585
"CLDN8",-2.018707848,0,0,0,0,0,0,0,0,0,0,7.82616312833,0,0
"CLDN9",0,0,0,0,0,0,0,0,0,0,0,0,-2.08481449153,0
"CLK3",0,3.564013767,0,0,0,0,0,0,0,0,0,0,0,0
"CLUHP3",0,0,0,0,0,0,0,1.947288216,0,0,0,0,0,0
"CMBL",0,0,0,0,0,0,0,0,0,0,5.050855729,0,0,0
"CMPK2",0,0,15.92877144,0,0,0,0,0,0,0,0,0,0,0
"CMTR1",0,0,2.7808605,0,0,0,0,0,0,0,0,0,0,0
"CNN1",0,0,0,0,0,0,4.953471249,0,0,0,0,0,0,0
"CNP",0,0,2.960656758,0,0,0,0,0,0,0,0,0,0,0
"CNR1",0,0,0,0,0,0,0,0,0,-1.45613759,0,0,0,0
"COL1A1",0,0,0,0,0,0,3.566081042,0,0,0,0,0,0,0
"COL4A1",0,0,0,0,0,0,6.337489575,0,0,0,0,0,0,0
"COL4A2",0,0,0,0,0,0,4.221263678,0,0,0,0,0,0,0
"COL5A1",0,0,0,0,0,0,5.221051246,0,0,0,0,0,0,0
"COMMD6",0,0,0,0,0,-3.462439113,0,0,0,0,0,0,0,0
"COMP",0,0,0,0,0,0,9.89924996,0,0,0,0,0,0,0
"COMT",0,0,0,0,0,0,0,0,0,0,0,0,-3.05468575187,0
"COQ8A",0,0,0,0,0,-6.388212375,0,0,0,0,0,0,0,0
"CPA6",0,0,0,0,0,0,0,0,0,-2.563768255,0,0,0,0
"CPLX2",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.04050048512
"CREB3L4",0,0,0,0,0,-9.102651653,0,0,0,0,0,0,0,0
"CREBRF",0,0,0,0,0,-10.44607527,0,0,0,0,0,0,0,0
"CRIPT",-2.04493787,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRKL",0,2.554734213,0,0,0,0,0,0,0,0,0,0,0,0
"CRLF1",0,0,0,0,0,0,4.825293112,0,0,0,0,0,0,0
"CROT",0,0,0,0,0,0,0,0,0,0,0,4.35830672292,0,0
"CRYL1",0,0,0,0,0,-7.333026179,0,0,0,0,0,0,0,0
"CRYM",0,0,0,0,0,0,0,0,0,3.461033261,0,0,0,0
"CSF2",0,0,0,0,5.903526278,0,0,8.355480637,0,0,0,0,0,0
"CSF3",0,0,0,0,4.903184341,0,0,6.343140375,0,0,0,0,0,0
"CSF3R",0,0,0,0,0,0,0,0,0,0,0,0,0,1.93231537539
"CSGALNACT1",0,0,0,0,0,0,0,0,0,0,0,6.84603443294,0,0
"CSMD3",0,0,0,0,0,0,0,0,0,0,4.812601463,0,0,0
"CST7",0,0,0,0,0,0,0,0,2.084534801,0,0,0,0,0
"CSTA",0,0,0,0,0,0,0,0,0,0,9.006077704,0,0,0
"CTBP1",0,0,0,0,0,0,0,0,0,0,0,-2.89217188229,0,0
"CTD-2297D10.2",0,0,0,0,0,0,0,0,-1.268872015,0,0,0,0,0
"CTDSP1",0,0,0,0,0,-5.567569318,0,0,0,0,0,0,0,0
"CTHRC1",0,0,0,0,0,0,0,9.459560282,0,0,0,0,0,0
"CTNNA2",0,0,0,0,0,0,0,0,0,0,0,3.86912654352,0,0
"CTNND2",0,0,0,0,0,0,0,0,0,0,0,0,-3.55466409986,0
"CTR9",0,0,0,0,0,0,0,0,0,0,0,0,4.82318209378,0
"CTSF",0,0,0,0,0,-9.172142735,0,0,0,0,0,0,0,0
"CTSS",0,0,0,0,0,0,0,6.397538834,0,0,0,0,0,0
"CXCL1",0,0,0,0,23.42185878,0,0,20.42654598,0,0,0,0,0,0
"CXCL11",0,0,15.00766272,0,15.8343668,0,0,0,0,0,0,0,0,0
"CXCL12",0,0,0,0,0,0,0,0,0,0,0,0,12.4776735289,0
"CXCL2",0,0,0,0,9.403459958,0,0,8.954759575,0,0,0,0,0,0
"CXCL3",0,0,0,0,22.94611422,0,0,23.75810567,0,0,0,0,0,0
"CXCL5",0,0,0,0,7.179647917,0,0,10.08136793,0,0,0,0,0,0
"CXCL6",0,0,0,0,8.725401427,0,0,10.51761406,0,0,0,0,0,0
"CXCL8",0,0,0,0,38.51792869,0,0,45.44182722,0,0,0,0,0,0
"CXorf56",0,0,0,0,0,0,0,0,-1.379393898,0,0,0,0,0
"CYFIP2",0,0,0,0,0,0,0,0,0,0,7.06090456,0,0,0
"CYLD",0,0,0,0,2.773314234,0,0,2.875463654,0,0,0,0,0,0
"CYP24A1",0,0,0,0,0,0,0,0,0,0,0,0,0,4.69230392105
"CYP2J2",0,0,2.0935776,0,0,0,0,0,0,0,0,0,0,0
"CYP4F2",0,0,0,0,0,0,0,0,0,0,4.139434854,0,0,0
"CYSRT1",0,0,0,0,0,0,0,0,0,0,5.076430759,0,0,0
"CYTL1",0,0,0,0,0,-4.865441636,0,0,0,3.478327901,0,0,0,0
"DACT1",0,0,0,0,0,0,6.220879686,0,0,0,0,0,0,0
"DARS",0,3.670815844,0,0,0,0,0,0,0,0,0,0,0,0
"DAZAP2",0,0,0,-1.407794983,0,0,0,0,0,0,0,0,0,0
"DCAF13",1.434232957,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCBLD2",0,0,0,3.371515685,0,0,0,0,0,0,0,0,0,0
"DCHS2",0,0,0,0,0,0,0,0,0,-1.731745432,0,0,0,0
"DDB2",0,0,0,0,0,0,0,0,0,0,8.18558326,0,0,0
"DDX10",0,0,0,0,0,0,0,0,0,0,0,0,4.62695785919,0
"DDX19A",0,0,0,0,0,0,0,0,-1.456258613,0,0,0,0,0
"DDX58",0,0,12.96537825,0,0,0,0,0,0,0,0,0,0,0
"DDX60",0,0,12.19823321,0,0,0,0,0,0,0,0,0,0,0
"DDX60L",0,0,7.202283033,0,0,0,0,0,0,0,0,0,0,0
"DEPTOR",0,0,0,0,0,0,0,0,0,0,0,0,7.46377846634,0
"DERL3",0,0,0,0,0,-4.033679425,0,0,0,0,0,0,0,0
"DESI2",0,0,0,0,0,0,0,0,0,0,0,0,0,1.10426832494
"DGKA",0,0,0,0,0,0,0,0,0,0,5.381505634,0,0,0
"DGKI",0,0,0,0,0,0,2.241143613,0,0,0,0,0,0,0
"DHCR24",0,0,0,0,0,0,0,0,0,0,0,6.84300840294,0,0
"DHRS12",0,0,0,0,0,-3.407349819,0,0,0,0,0,0,0,0
"DHX58",0,0,4.909942135,0,0,0,0,0,0,0,0,0,0,0
"DLEU7-AS1",0,0,0,0,0,0,0,0,0,-4.021084329,0,0,0,0
"DLX5",0,0,0,0,0,0,0,0,0,0,0,0,0,1.64452023135
"DMRTC2",0,0,0,0,0,0,0,0,-1.487464993,0,0,0,0,0
"DNAJB8",0,0,0,0,0,0,0,0,-1.366396665,0,0,0,0,0
"DNAL4",0,0,0,0,0,-4.445867275,0,0,0,0,0,0,0,0
"DNASE2",0,0,0,-1.821820416,0,0,0,0,0,0,0,0,0,0
"DNASE2B",0,0,0,0,0,0,0,0,0,0,0,3.01132858824,0,0
"DNM1L",0,0,0,0,0,0,0,0,0,0,0,4.18867959332,0,0
"DOLK",0,-3.464171672,0,0,0,0,0,0,0,0,0,0,0,0
"DPY19L1P1",-1.347311326,0,0,0,0,0,0,0,0,0,0,0,0,0
"DQX1",0,0,0,0,0,0,0,0,0,0,4.387116106,0,0,0
"DRAM1",0,0,0,0,9.547700357,0,0,10.75825237,0,0,0,0,0,0
"DRAXIN",0,0,0,0,0,0,0,0,0,0,6.014405245,0,0,0
"DSCAM",0,0,0,0,0,0,0,0,0,0,0,0,4.14288012519,0
"DSPP",2.350387113,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTX2",0,0,0,0,0,0,0,2.931319728,0,0,0,0,0,0
"DTX3L",0,0,8.358418698,0,0,0,0,0,0,0,0,0,0,0
"DUSP4",6.967179671,0,0,7.80481596,0,0,0,0,0,0,0,0,0,0
"DUSP5",7.943039507,0,0,7.920030143,0,0,0,0,0,0,0,0,0,0
"DUSP6",12.62931259,0,0,16.85901583,0,0,0,0,0,0,0,0,0,0
"DUSP7",0,0,0,2.452508263,0,0,0,0,0,0,0,0,0,0
"DYNC2LI1",-1.430238602,0,0,0,0,0,0,0,0,0,0,0,0,0
"E2F3",0,0,0,2.034348475,0,0,0,0,0,0,0,0,0,0
"EAF2",0,0,0,0,0,0,0,0,0,0,0,6.94490738852,0,0
"EAPP",-2.23989973,0,0,0,0,0,0,0,0,0,0,0,0,0
"EBI3",0,0,0,0,7.54618521,0,0,0,0,0,0,0,0,0
"ECH1",0,0,0,-2.289742084,0,0,0,0,0,0,0,0,0,0
"ECI2",0,0,0,0,0,0,0,0,0,0,0,4.26810222296,0,0
"EDA2R",0,0,0,0,0,0,0,0,0,0,3.179132303,0,0,0
"EDN1",0,0,0,0,0,0,0,7.585623803,0,0,0,0,0,0
"EFHC1",-2.03460366,0,0,0,0,0,0,0,0,0,0,0,0,0
"EFNA1",0,0,0,0,11.43329539,0,0,18.63110938,0,0,0,0,0,0
